기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식음식점업	한식음식점업	용달 및 개별화물 자동차운송업	용달 및 개별화물 자동차운송업	부동산자문 및 중개업	부동산자문 및 중개업	기타주점업	기타주점업	두발미용업	두발미용업	비알콜 음료점업	비알콜 음료점업	셔츠 및 기타 의복 소매점	셔츠 및 기타 의복 소매점	셔츠 및 외의 도매업	셔츠 및 외의 도매업	일반 교과 학원	일반 교과 학원
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2016	도봉구	도봉2동	249	942	85	224	120	125	37	56	44	75	37	56	20	31	14	37	3	17	15	36
2016	노원구	소계	4,364	7,101	1,573	5,319	2,172	2,241	700	1,104	598	1,277	731	1,319	489	1,590	542	1,152	11	34	616	2,781
2016	노원구	월계1동	162	613	133	356	135	147	35	43	35	98	41	82	36	116	8	10	1	7	12	45
2016	노원구	월계2동	297	426	17	47	159	159	17	27	6	12	24	35	13	24	6	7	-	-	14	38
2016	노원구	월계3동	231	231	35	79	166	166	35	47	3	7	25	36	13	32	25	50	2	2	15	38
2016	노원구	공릉2동	293	694	115	322	197	206	64	97	32	83	53	80	67	215	8	8	-	-	31	91
2016	노원구	하계1동	90	191	75	317	63	63	22	44	20	34	24	36	21	71	55	119	-	-	25	90
2016	노원구	하계2동	98	98	15	42	66	66	15	26	1	2	16	32	2	3	-	-	-	-	11	38
2016	노원구	중계본동	126	247	55	146	78	78	34	54	28	70	35	50	31	70	16	20	-	-	143	865
2016	노원구	중계1동	115	115	29	109	57	57	36	69	6	12	28	45	19	80	10	10	-	-	116	706
2016	노원구	중계4동	118	118	110	336	75	78	22	31	35	69	27	46	20	51	9	10	-	-	22	63
2016	노원구	상계1동	1,365	1,862	170	648	168	171	61	98	57	91	61	110	42	103	21	28	2	4	37	143
2016	노원구	상계2동	86	237	238	1,108	80	87	59	106	143	349	85	270	63	292	145	407	-	-	19	133
2016	노원구	상계5동	95	194	91	171	124	130	56	73	48	58	63	81	23	56	23	25	-	-	37	95
2016	노원구	상계8동	120	120	19	42	47	47	16	25	7	14	17	29	6	13	9	19	-	-	23	67
2016	노원구	상계9동	188	188	18	65	84	84	23	34	7	13	18	27	5	13	7	9	-	-	26	94
